Partida nº: 1 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 233 
Partida nº: 2 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 3 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 4 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 5 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 6 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 7 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 8 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 9 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 10 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 215 
NP:10 B:0 N:2 T:8 PM:236.800003 PC:27.100000 
Partida nº: 1 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 233 
Partida nº: 2 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 3 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 4 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 5 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 6 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 7 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 8 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 9 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 10 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Negras  | Movimientos: 215 
Partida nº: 11 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 12 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 13 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
Partida nº: 14 | ID blanco: 1 | ID negro: 2 | Ganador(B/N/=): Empate  | Movimientos: 240 
